Name,Position,Opposing Team,Threshold,Type,Special
Kentavious Caldwell-Pope,[],GSW,14.5,Pts+Rebs+Asts,
Kentavious Caldwell-Pope,[],GSW,1.5,3-PointersMade,
Kentavious Caldwell-Pope,[],GSW,0.5,Blocks,Higher 1.25x
Reggie Jackson,[],GSW,7.5,Points,
Reggie Jackson,[],GSW,12.5,Pts+Rebs+Asts,
Reggie Jackson,[],GSW,0.5,Steals,Higher 1.25x
Peyton Watson,[],GSW,5.5,Points,
Peyton Watson,[],GSW,9.5,Pts+Rebs+Asts,
Peyton Watson,[],GSW,0.5,3-PointersMade,
Peyton Watson,[],GSW,0.5,Steals,
Peyton Watson,[],GSW,0.5,Blocks,
Peyton Watson,[],GSW,1.5,Blocks+Steals,Higher 1.25x
Christian Braun,[],GSW,5.5,Points,
Christian Braun,[],GSW,10.5,Pts+Rebs+Asts,
Christian Braun,[],GSW,2.5,Rebounds,
Christian Braun,[],GSW,0.5,Steals,Higher 1.25x
Christian Braun,[],GSW,0.5,Blocks,Higher 1.75x
Christian Braun,[],GSW,0.5,Blocks+Steals,
Stephen Curry,[],DEN,27.5,Points,
Stephen Curry,[],DEN,37.5,Pts+Rebs+Asts,
Stephen Curry,[],DEN,5.0,Assists,
Stephen Curry,[],DEN,4.0,Rebounds,
Stephen Curry,[],DEN,9.0,Rebounds+Assists,
Stephen Curry,[],DEN,4.5,3-PointersMade,
Stephen Curry,[],DEN,33.5,Points+Assists,
Stephen Curry,[],DEN,31.5,Points+Rebounds,
Stephen Curry,[],DEN,40.75,FantasyPoints,
Stephen Curry,[],DEN,0.5,Blocks,Higher 1.25x
Stephen Curry,[],DEN,1.5,Blocks+Steals,Higher 1.25x
Klay Thompson,[],DEN,15.5,Points,
Klay Thompson,[],DEN,20.5,Pts+Rebs+Asts,
Klay Thompson,[],DEN,3.0,Rebounds,
Klay Thompson,[],DEN,3.0,3-PointersMade,
Klay Thompson,[],DEN,17.5,Points+Assists,
Klay Thompson,[],DEN,0.5,Steals,
Klay Thompson,[],DEN,0.5,Blocks,Higher 1.25x
Chris Paul,[],DEN,0.5,DoubleDoubles,Higher 3x
Chris Paul,[],DEN,10.5,Points,
Chris Paul,[],DEN,21.5,Pts+Rebs+Asts,
Chris Paul,[],DEN,7.5,Assists,
Chris Paul,[],DEN,11.0,Rebounds+Assists,
Chris Paul,[],DEN,1.5,3-PointersMade,
Chris Paul,[],DEN,18.5,Points+Assists,
Chris Paul,[],DEN,1.5,Blocks+Steals,Higher 1.25x
Chris Paul,[],DEN,0.5,Blocks,Higher 2x
Andrew Wiggins,[],DEN,11.5,Points,
Andrew Wiggins,[],DEN,16.5,Pts+Rebs+Asts,
Andrew Wiggins,[],DEN,3.5,Rebounds,
Andrew Wiggins,[],DEN,1.5,3-PointersMade,Higher 1.25x
Andrew Wiggins,[],DEN,15.5,Points+Rebounds,
Andrew Wiggins,[],DEN,0.5,Blocks,Higher 1.25x
Jonathan Kuminga,[],DEN,14.0,Points,
Jonathan Kuminga,[],DEN,21.5,Pts+Rebs+Asts,
Jonathan Kuminga,[],DEN,5.0,Rebounds,
Jonathan Kuminga,[],DEN,15.5,Points+Assists,
Jonathan Kuminga,[],DEN,19.0,Points+Rebounds,
Jonathan Kuminga,[],DEN,0.5,Steals,
Jonathan Kuminga,[],DEN,0.5,Blocks,Higher 1.25x
Jonathan Kuminga,[],DEN,1.5,Blocks+Steals,Higher 1.5x
Brandin Podziemski,[],DEN,9.5,Points,
Brandin Podziemski,[],DEN,19.0,Pts+Rebs+Asts,
Brandin Podziemski,[],DEN,5.0,Rebounds,
Brandin Podziemski,[],DEN,9.5,Rebounds+Assists,
Brandin Podziemski,[],DEN,0.5,Blocks,Higher 1.75x
Brandin Podziemski,[],DEN,1.5,Blocks+Steals,Higher 1.25x
Dario Saric,[],DEN,7.5,Points,
Dario Saric,[],DEN,13.5,Pts+Rebs+Asts,
Dario Saric,[],DEN,4.0,Rebounds,
Dario Saric,[],DEN,0.5,Steals,Higher 1.25x
Dario Saric,[],DEN,0.5,Blocks,Higher 3x
Trayce Jackson-Davis,[],DEN,10.0,Points,
Trayce Jackson-Davis,[],DEN,17.5,Pts+Rebs+Asts,
Trayce Jackson-Davis,[],DEN,6.0,Rebounds,
Trayce Jackson-Davis,[],DEN,0.5,Steals,
Trayce Jackson-Davis,[],DEN,1.5,Blocks,Higher 1.5x
