Player,Stat,Threshold,Percentage
Domantas Sabonis,Rebounds,13.0,31.03448275862069
Saddiq Bey,Rebounds,6.0,53.333333333333336
Keegan Murray,Rebounds,5.5,48.0
Clint Capela,Rebounds,10.5,55.172413793103445
Harrison Barnes,Rebounds,3.5,51.724137931034484
Jalen Johnson,Rebounds,7.5,43.75
Bogdan Bogdanovic,Rebounds,3.5,35.714285714285715
Onyeka Okongwu,Rebounds,7.0,36.666666666666664
Scottie Barnes,Rebounds,9.0,50.0
Pascal Siakam,Rebounds,7.0,33.33333333333333
OG Anunoby,Rebounds,4.0,42.30769230769231
Jakob Poeltl,Rebounds,8.0,43.333333333333336
Alperen Sengun,Rebounds,10.5,24.137931034482758
Fred VanVleet,Rebounds,4.0,39.285714285714285
Tobias Harris,Rebounds,6.5,46.666666666666664
Jalen Green,Rebounds,4.5,41.37931034482759
De'Anthony Melton,Rebounds,4.5,41.37931034482759
Paul Reed,Rebounds,8.5,6.666666666666667
Kelly Oubre Jr.,Rebounds,5.0,15.789473684210526
Nikola Jokic,Rebounds,14.5,25.0
Shai Gilgeous-Alexander,Rebounds,5.5,53.57142857142857
Chet Holmgren,Rebounds,8.0,34.48275862068966
Michael Porter Jr.,Rebounds,8.0,42.42424242424242
Kevin Durant,Rebounds,6.5,50.0
Devin Booker,Rebounds,5.0,33.33333333333333
Miles Bridges,Rebounds,6.0,50.0
Jusuf Nurkic,Rebounds,11.0,39.285714285714285
Terry Rozier,Rebounds,3.5,47.368421052631575
Nick Richards,Rebounds,9.0,34.78260869565217
Devin Vassell,Rebounds,4.0,28.000000000000004
Jeremy Sochan,Rebounds,7.5,26.666666666666668
Zach Collins,Rebounds,8.0,13.333333333333334
Paolo Banchero,Assists,5.0,23.333333333333332
Jalen Brunson,Assists,6.0,43.333333333333336
Franz Wagner,Assists,4.5,36.666666666666664
Cole Anthony,Assists,4.0,30.0
Jordan Poole,Assists,3.5,44.827586206896555
Cam Thomas,Assists,2.5,40.909090909090914
Tyus Jones,Assists,6.0,30.0
Deni Avdija,Assists,3.5,53.333333333333336
Dennis Smith Jr.,Assists,4.0,47.05882352941176
Donovan Mitchell,Assists,6.0,13.636363636363635
Giannis Antetokounmpo,Assists,6.0,30.0
Damian Lillard,Assists,6.5,51.724137931034484
Khris Middleton,Assists,5.0,30.76923076923077
Trae Young,Assists,11.5,42.857142857142854
De'Aaron Fox,Assists,6.0,43.47826086956522
Dejounte Murray,Assists,5.0,43.333333333333336
Domantas Sabonis,Assists,7.5,44.827586206896555
Malik Monk,Assists,5.0,39.285714285714285
Scottie Barnes,Assists,6.5,36.666666666666664
Pascal Siakam,Assists,5.0,43.333333333333336
OG Anunoby,Assists,2.5,53.84615384615385
Alperen Sengun,Assists,4.5,62.06896551724138
Tyrese Maxey,Assists,6.5,51.724137931034484
Fred VanVleet,Assists,7.5,57.14285714285714
Jalen Green,Assists,2.5,55.172413793103445
De'Anthony Melton,Assists,3.5,48.275862068965516
Nikola Jokic,Assists,9.5,40.625
Shai Gilgeous-Alexander,Assists,6.0,46.42857142857143
Jamal Murray,Assists,6.0,26.31578947368421
Kevin Durant,Assists,6.0,34.61538461538461
Brandon Miller,Assists,2.5,38.46153846153847
Devin Booker,Assists,7.5,47.61904761904761
Terry Rozier,Assists,7.0,31.57894736842105
Bradley Beal,Assists,3.5,50.0
Devin Vassell,Assists,3.5,40.0
Jeremy Sochan,Assists,4.0,40.0
Julius Randle,Defensive Rebounds,7.5,50.0
Giannis Antetokounmpo,Defensive Rebounds,8.5,40.0
Brook Lopez,Defensive Rebounds,3.5,51.61290322580645
Domantas Sabonis,Defensive Rebounds,9.5,41.37931034482759
Clint Capela,Defensive Rebounds,6.5,37.93103448275862
Scottie Barnes,Defensive Rebounds,6.5,56.666666666666664
Jakob Poeltl,Defensive Rebounds,5.5,53.333333333333336
Alperen Sengun,Defensive Rebounds,7.0,31.03448275862069
Chet Holmgren,Defensive Rebounds,6.0,31.03448275862069
Jalen Brunson,Offensive Rebounds,0.5,50.0
Daniel Gafford,Offensive Rebounds,2.5,48.148148148148145
Giannis Antetokounmpo,Offensive Rebounds,2.5,43.333333333333336
Khris Middleton,Offensive Rebounds,0.5,53.84615384615385
Brook Lopez,Offensive Rebounds,1.5,45.16129032258064
Dejounte Murray,Offensive Rebounds,0.5,43.333333333333336
Domantas Sabonis,Offensive Rebounds,3.0,41.37931034482759
Clint Capela,Offensive Rebounds,4.0,51.724137931034484
Harrison Barnes,Offensive Rebounds,0.5,51.724137931034484
Scottie Barnes,Offensive Rebounds,2.5,53.333333333333336
Jakob Poeltl,Offensive Rebounds,2.5,50.0
Chet Holmgren,Offensive Rebounds,1.5,48.275862068965516
Jusuf Nurkic,Offensive Rebounds,3.0,25.0
Terry Rozier,Offensive Rebounds,0.5,47.368421052631575
Jalen Brunson,3-PT Attempted,6.0,40.0
Jalen Suggs,3-PT Attempted,5.0,34.61538461538461
RJ Barrett,3-PT Attempted,4.5,68.0
Kyle Kuzma,3-PT Attempted,7.0,30.0
Jordan Poole,3-PT Attempted,7.5,31.03448275862069
Cameron Johnson,3-PT Attempted,6.0,30.434782608695656
Spencer Dinwiddie,3-PT Attempted,5.5,58.620689655172406
Donovan Mitchell,3-PT Attempted,9.5,40.909090909090914
Damian Lillard,3-PT Attempted,9.0,34.48275862068966
Trae Young,3-PT Attempted,9.5,35.714285714285715
De'Aaron Fox,3-PT Attempted,9.0,30.434782608695656
Dejounte Murray,3-PT Attempted,6.0,40.0
Keegan Murray,3-PT Attempted,7.0,32.0
Scottie Barnes,3-PT Attempted,6.0,33.33333333333333
Tyrese Maxey,3-PT Attempted,8.0,44.827586206896555
Fred VanVleet,3-PT Attempted,7.5,46.42857142857143
Michael Porter Jr.,3-PT Attempted,7.0,48.484848484848484
Kevin Durant,3-PT Attempted,4.5,46.15384615384615
Devin Booker,3-PT Attempted,5.5,42.857142857142854
Miles Bridges,3-PT Attempted,7.0,33.33333333333333
Terry Rozier,3-PT Attempted,7.5,36.84210526315789
Paolo Banchero,Free Throws Made,5.0,40.0
Jalen Brunson,Free Throws Made,4.5,43.333333333333336
Franz Wagner,Free Throws Made,4.5,46.666666666666664
Julius Randle,Free Throws Made,5.0,46.666666666666664
RJ Barrett,Free Throws Made,3.5,40.0
Mikal Bridges,Free Throws Made,4.0,38.70967741935484
Jordan Poole,Free Throws Made,3.0,44.827586206896555
Tyus Jones,Free Throws Made,0.5,30.0
Donovan Mitchell,Free Throws Made,5.5,40.909090909090914
Giannis Antetokounmpo,Free Throws Made,7.5,43.333333333333336
Damian Lillard,Free Throws Made,7.0,44.827586206896555
Brook Lopez,Free Throws Made,1.5,41.935483870967744
Trae Young,Free Throws Made,7.0,35.714285714285715
De'Aaron Fox,Free Throws Made,5.5,43.47826086956522
Domantas Sabonis,Free Throws Made,4.0,44.827586206896555
